skill,score
java,8.75
j2ee,8.75
technical architect,8.75
cloud,7.19
restful,6.88
micro services,6.88
spring,5.63
spring security,5.63
docker,5.63
nginx,5.63
mongodb,5.63
kafka,5.63
agile,0.31
