skill,score
red hat,8.75
linux,8.75
cloud,6.67
load balancing,2.08
clustering,2.08
puppet,2.5
cfengine,2.5
ched,2.5
ansible,2.5
salt,2.5
cisco firewall,5.42
vmware,0.83
