skill,score
backend development,6.88
web services,5.31
restful,5.31
microservices,5.08
node.js,6.88
javascript,8.28
docker,5.08
ejs,5.63
gulp,5.39
grunt,5.39
git,5.16
svn,5.16
test driven development,4.84
mocha,4.84
jasmine,4.84
css,4.61
bootstrap,4.61
html,4.61
cms,5.63
keystone,5.63
sql,4.92
mongodb,3.44
couchdb,3.44
software design,3.2
