skill,score
c++,8.13
php,8.13
c,8.13
ruby on rails,6.25
ruby,6.25
javascript,8.13
jquery,7.08
css3,7.08
html5,7.08
linux,6.67
unix,6.67
ux,5.42
postgresql,5.0
http,4.58
