skill,score
java,7.5
groovy,7.5
grails,7.5
java utilities,5.71
rabbitmq,5.71
jms,5.71
rmi,5.71
web services,5.71
xslt,5.71
spring,6.43
tomcat,6.43
javascript,5.89
jquery,5.89
css,5.89
html,5.89
git,5.89
jenkins,5.89
eclipse,6.07
intellij,6.07
mysql,5.36
