skill,score
core java,10.0
java ee,10.0
servlets,7.08
jsp,7.08
javascript,10.0
css,10.0
bootstrap,4.17
mvc technologies,10.0
design standards,7.08
multithreading,7.08
web services,7.08
restful,7.08
xml,7.08
spring framework,5.42
spring integration,5.42
springboot,1.25
persistence frameworks,5.42
jpa,5.42
hibernate,5.42
websphere,1.25
nodejs,1.25
websphere,1.25
junit,4.58
cucumber,4.58
gherkin,4.58
test driven development,4.58
jira,4.58
sonar,4.58
maven,4.58
eclipse,4.58
angular,4.17
kafka,4.17
